"timestamp","deviceId","temp","humid","batt","co2","mic"
1606563706,"12",22.8,52.93,4.318359,1087,0.4
1606563693,"12",22.78,52.74,4.318359,1090,0.41
1606563680,"12",22.8,52.72,4.324805,1092,0.4
1606563667,"12",22.81,53.02,4.324805,1091,0.47
1606563653,"12",22.8,52.98,4.318359,1091,0.4
1606563640,"12",22.77,53.01,4.324805,1086,0.43
1606563627,"12",22.75,53.03,4.324805,1079,0.42
1606563614,"12",22.72,53.09,4.318359,1074,0.42
1606563600,"12",22.68,53.05,4.324805,1075,0.45
1606563587,"12",22.7,52.95,4.324805,1076,0.42
1606563574,"12",22.74,52.94,4.324805,1072,0.53
1606563561,"12",22.7,52.87,4.318359,1064,0.41
1606563547,"12",22.7,52.77,4.318359,1068,0.39
1606563534,"12",22.67,52.71,4.318359,1061,0.4
1606563521,"12",22.72,52.8,4.324805,1047,0.39
1606563508,"12",22.8,52.56,4.324805,1038,0.41
1606563495,"12",22.71,52.6,4.324805,1037,0.46
1606563481,"12",22.75,52.53,4.318359,1026,0.41
1606563468,"12",22.7,52.47,4.324805,1006,0.39
1606563455,"12",22.75,52.29,4.311914,991,0.4
1606563442,"12",22.75,52.18,4.324805,983,0.43
1606563429,"12",22.74,52.47,4.318359,983,0.39
1606563415,"12",22.74,52.41,4.324805,984,0.41
1606563402,"12",22.78,52.46,4.324805,981,0.41
1606563389,"12",22.72,52.53,4.318359,982,0.41
1606563376,"12",22.72,52.62,4.324805,979,0.46
1606563362,"12",22.7,52.67,4.324805,980,0.4
1606563349,"12",22.68,52.55,4.318359,978,0.45
1606563336,"12",22.66,52.46,4.324805,985,0.4
1606563323,"12",22.7,52.48,4.318359,987,0.54
1606563309,"12",22.72,52.38,4.324805,986,0.65
1606563296,"12",22.71,52.42,4.318359,986,0.45
1606563283,"12",22.71,52.41,4.324805,989,0.42
1606563270,"12",22.74,52.38,4.324805,989,0.47
1606563257,"12",22.74,52.37,4.318359,989,0.42
1606563243,"12",22.8,52.44,4.324805,986,0.41
1606563230,"12",22.71,52.5,4.324805,985,0.43
1606563217,"12",22.74,52.52,4.318359,986,0.39
1606563204,"12",22.72,52.44,4.324805,987,0.38
1606563191,"12",22.72,52.58,4.318359,984,0.39
1606563177,"12",22.71,52.44,4.324805,986,0.41
1606563164,"12",22.74,52.45,4.324805,990,0.41
1606563151,"12",22.74,52.53,4.318359,989,0.41
1606563138,"12",22.68,52.5,4.318359,992,0.4
1606563124,"12",22.72,52.47,4.318359,993,0.38
1606563111,"12",22.78,52.28,4.324805,995,0.38
1606563098,"12",22.81,52.43,4.318359,996,0.4
1606563085,"12",22.81,52.51,4.324805,996,0.4
1606563071,"12",22.77,52.56,4.324805,997,0.38
1606563058,"12",22.77,52.3,4.318359,1000,0.41
1606563045,"12",22.84,52.08,4.324805,1000,0.41
1606563032,"12",22.88,52.3,4.324805,995,0.4
1606563019,"12",22.82,52.32,4.324805,995,0.4
1606563005,"12",22.8,52.45,4.324805,996,0.5
1606562992,"12",22.78,52.42,4.324805,996,0.47
1606562979,"12",22.8,52.41,4.324805,1000,0.4
1606562966,"12",22.82,52.34,4.324805,1000,0.42
1606562952,"12",22.81,52.25,4.324805,1000,0.4
1606562939,"12",22.84,52.34,4.318359,997,0.38
1606562926,"12",22.85,52.35,4.324805,995,0.43
1606562913,"12",22.82,52.26,4.33125,1003,0.38
1606562900,"12",22.88,52.25,4.318359,1001,0.4
1606562886,"12",22.87,52.14,4.324805,1002,0.4
1606562873,"12",22.92,52.09,4.318359,1003,0.4
1606562860,"12",22.92,52.15,4.324805,997,0.39
1606562847,"12",22.91,52.2,4.324805,999,0.42
1606562833,"12",22.91,52.28,4.324805,1001,0.39
1606562820,"12",22.88,52.39,4.318359,1002,0.43
1606562807,"12",22.87,52.16,4.324805,1006,0.4
1606562794,"12",22.9,52.2,4.324805,1006,0.4
1606562780,"12",22.92,52.12,4.318359,1006,0.41
1606562767,"12",22.97,52.03,4.324805,1004,0.4
1606562754,"12",22.97,52.03,4.324805,1006,0.55
1606562741,"12",22.99,52.02,4.318359,1005,0.4
1606562728,"12",22.97,52.09,4.318359,1008,0.6
1606562714,"12",22.99,52.07,4.318359,1008,0.44
1606562701,"12",22.98,52.02,4.324805,1007,0.43
1606562688,"12",22.98,52.01,4.318359,1007,0.4
1606562675,"12",23.02,52,4.318359,1006,0.4
1606562661,"12",22.98,51.92,4.324805,1006,0.48
1606562648,"12",23.02,51.93,4.324805,1004,0.41
1606562635,"12",23.05,51.73,4.324805,1001,0.41
1606562622,"12",23.05,51.8,4.324805,1000,0.4
1606562609,"12",23.04,51.86,4.324805,995,0.4
1606562595,"12",23.05,51.81,4.324805,995,0.4
1606562582,"12",23.04,51.66,4.324805,993,0.4
1606562569,"12",23.04,51.59,4.318359,994,0.48
1606562556,"12",23.1,51.5,4.324805,991,0.42
1606562542,"12",23.1,51.65,4.324805,986,0.57
1606562529,"12",23.08,51.69,4.324805,985,0.4
1606562516,"12",23.08,51.55,4.324805,982,0.49
1606562503,"12",23.06,51.54,4.318359,982,0.48
1606562490,"12",23.08,51.63,4.324805,980,0.44
1606562476,"12",23.1,51.42,4.324805,981,0.42
1606562463,"12",23.14,51.29,4.324805,980,0.4
1606562450,"12",23.14,51.33,4.318359,979,0.44
1606562437,"12",23.14,51.18,4.318359,978,0.53
1606562423,"12",23.12,51.24,4.324805,977,0.48
1606562410,"12",23.15,51.46,4.33125,977,0.5
1606562397,"12",23.1,51.37,4.324805,976,0.41
1606562384,"12",23.12,51.34,4.324805,977,0.46
1606562371,"12",23.15,51.31,4.318359,975,0.39
1606562357,"12",23.15,51.19,4.318359,976,0.42
1606562344,"12",23.17,51.19,4.324805,974,0.41
1606562331,"12",23.17,51.31,4.324805,972,0.41
1606562318,"12",23.18,51.26,4.324805,972,0.45
1606562304,"12",23.15,51.28,4.324805,969,0.44
1606562291,"12",23.15,51.1,4.33125,968,0.41
1606562278,"12",23.18,51.21,4.324805,967,0.42
1606562265,"12",23.14,51.19,4.324805,969,0.41
1606562252,"12",23.12,51.02,4.324805,969,0.4
1606562238,"12",23.19,50.92,4.318359,968,0.41
1606562225,"12",23.22,51.11,4.324805,966,0.41
1606562212,"12",23.19,51.28,4.318359,966,0.41
1606562199,"12",23.19,51.18,4.324805,966,0.74
1606562185,"12",23.21,51.28,4.318359,965,0.42
1606562172,"12",23.18,51.28,4.318359,963,0.4
1606562159,"12",23.14,51.39,4.324805,964,0.57
1606562146,"12",23.14,51.25,4.324805,963,0.39
1606562133,"12",23.15,51.14,4.324805,964,0.44
1606562119,"12",23.12,51.18,4.318359,962,0.41
1606562106,"12",23.11,51.26,4.311914,959,0.41
1606562093,"12",23.08,51.26,4.318359,957,0.43
1606562080,"12",23.05,51.43,4.324805,955,0.47
1606562066,"12",23.02,51.53,4.318359,953,0.42
1606562053,"12",22.99,51.58,4.324805,950,0.44
1606562040,"12",22.98,51.38,4.324805,949,0.47
1606562027,"12",22.95,51.58,4.324805,948,0.55
1606562014,"12",22.95,51.58,4.324805,945,0.41
1606562000,"12",22.92,51.64,4.324805,943,0.55
1606561987,"12",22.88,51.67,4.324805,941,0.5
1606561974,"12",22.85,51.77,4.324805,938,0.51
1606561961,"12",22.85,51.45,4.324805,935,0.44
1606561947,"12",22.85,51.66,4.318359,932,0.44
1606561934,"12",22.82,51.44,4.324805,927,0.41
1606561921,"12",22.81,51.64,4.324805,926,0.47
1606561908,"12",22.81,51.42,4.318359,923,0.5
1606561895,"12",22.8,51.33,4.324805,921,0.48
1606561881,"12",22.8,51.2,4.324805,917,0.45
1606561868,"12",22.78,51.36,4.324805,914,0.41
1606561855,"12",22.75,51.43,4.324805,911,0.45
1606561842,"12",22.71,51.32,4.324805,908,0.4
1606561828,"12",22.7,51.29,4.318359,906,0.4
1606561815,"12",22.7,51.3,4.324805,905,0.38
1606561802,"12",22.68,51.42,4.318359,903,0.39
