"timestamp","deviceId","temp","humid","co2"
1607295248,"15",22.76,39.73,1063
1607295237,"15",22.76,39.05,1060
1607295227,"15",22.72,39.58,1065
1607295216,"15",22.71,39.53,1067
1607295206,"15",22.68,39.21,1078
1607295195,"15",22.67,39.94,1074
1607295185,"15",22.62,40.51,1079
1607295174,"15",22.65,40.91,1045
1607295164,"15",22.61,40.57,1030
1607295153,"15",22.55,39.54,1026
1607295143,"15",22.6,39.49,1026
1607295133,"15",22.52,38.98,1025
1607295122,"15",22.5,40.06,1025
1607295112,"15",22.5,40.19,1018
1607295101,"15",22.45,38.68,1014
1607295091,"15",22.47,38.85,1014
1607295080,"15",22.41,39.48,1019
1607295070,"15",22.38,40.09,1012
1607295059,"15",22.4,39.6,1010
1607295049,"15",22.37,38.53,1005
1607295038,"15",22.34,38.33,1006
1607295028,"15",22.34,38.63,1006
1607295017,"15",22.33,39.68,1002
1607295007,"15",22.31,39.76,998
1607294997,"15",22.3,39.37,994
1607294986,"15",22.31,39.11,992
1607294976,"15",22.28,37.9,989
1607294965,"15",22.27,37.65,990
1607294955,"15",22.31,37.98,991
1607294944,"15",22.3,37.09,989
1607294934,"15",22.3,36.62,990
1607294923,"15",22.28,36.4,996
1607294913,"15",22.3,36.96,998
1607294902,"15",22.31,37.37,998
1607294892,"15",22.3,37.39,996
1607294881,"15",22.28,37.04,992
1607294871,"15",22.28,37.01,992
1607294861,"15",22.25,37.13,988
1607294850,"15",22.24,36.92,980
1607294840,"15",22.23,36.96,968
1607294829,"15",22.24,36.73,963
1607294819,"15",22.21,36.33,956
1607294808,"15",22.24,35.99,925
1607294798,"15",22.24,35.2,919
1607294787,"15",22.25,34.7,917
1607294777,"15",22.27,34.05,918
1607294766,"15",22.24,34.19,922
1607294756,"15",22.27,34.65,921
1607294746,"15",22.28,34.73,920
1607294735,"15",22.28,35,917
1607294725,"15",22.28,36.2,916
1607294714,"15",22.27,34.83,916
1607294704,"15",22.21,34.54,917
1607294693,"15",22.2,34.74,923
1607294683,"15",22.16,35.78,923
1607294672,"15",22.2,36.53,921
1607294662,"15",22.17,36.15,921
1607294651,"15",22.19,35.29,921
1607294641,"15",22.14,35.05,923
1607294630,"15",22.16,34.95,921
1607294620,"15",22.14,34.51,926
1607294610,"15",22.14,34.41,932
1607294599,"15",22.14,34.88,940
1607294589,"15",22.14,35.4,938
1607294578,"15",22.16,35.84,932
1607294568,"15",22.17,35.82,909
1607294557,"15",22.19,34.75,882
1607294547,"15",22.14,32.89,859
1607294536,"15",22.14,32.14,912
1607294526,"15",22.17,32.7,937
1607294515,"15",22.21,33.39,962
1607294505,"15",22.23,33.8,973
1607294495,"15",22.24,33.85,912
1607294484,"15",22.24,33.67,878
1607294474,"15",22.21,32.99,869
1607294463,"15",22.24,32.41,866
1607294453,"15",22.25,32.32,864
1607294442,"15",22.28,32.66,864
1607294432,"15",22.31,32.73,864
1607294421,"15",22.27,32.42,865
1607294411,"15",22.2,32.58,866
1607294400,"15",22.13,32.65,869
1607294390,"15",22.14,32.59,870
1607294379,"15",22.16,32.48,869
1607294369,"15",22.16,32.51,875
1607294359,"15",22.14,32.51,878
1607294348,"15",22.14,32.71,878
1607294338,"15",22.16,32.88,882
1607294327,"15",22.16,32.94,874
1607294317,"15",22.2,32.87,869
1607294306,"15",22.21,32.84,864
1607294296,"15",22.17,32.94,867
1607294285,"15",22.14,33.09,870
1607294275,"15",22.16,32.85,851
1607294264,"15",22.2,32.58,813
1607294254,"15",22.21,32.5,796
1607294244,"15",22.21,32.38,784
1607294233,"15",22.17,32.1,775
1607294223,"15",22.2,31.98,769
1607294212,"15",22.16,31.85,783
1607294202,"15",22.19,31.73,774
1607294191,"15",22.19,31.72,705
1607294181,"15",22.24,31.89,685
1607294170,"15",22.13,32.02,684
1607294160,"15",22.17,31.61,685
1607294149,"15",22.09,31.83,690
1607294139,"15",22.07,31.85,690
1607294128,"15",22.07,31.82,689
1607294118,"15",22.14,31.85,682
1607294108,"15",22.14,31.7,682
1607294097,"15",22.17,31.61,678
1607294087,"15",22.2,31.43,677
1607294076,"15",22.21,31.4,675
1607294066,"15",22.19,31.49,676
1607294055,"15",22.16,31.5,680
1607294045,"15",22.19,31.4,673
1607294034,"15",22.28,31.38,668
1607294024,"15",22.24,31.33,669
1607294013,"15",22.27,31.34,670
1607294003,"15",22.25,31.27,674
1607293993,"15",22.2,31.35,678
1607293982,"15",22.21,31.38,679
1607293972,"15",22.19,31.38,680
1607293961,"15",22.21,31.29,675
1607293951,"15",22.31,31.22,671
1607293940,"15",22.28,31.21,666
1607293930,"15",22.33,31.03,664
1607293919,"15",22.33,30.94,664
1607293909,"15",22.41,30.93,658
1607293898,"15",22.41,30.94,658
1607293888,"15",22.34,30.88,659
1607293877,"15",22.34,31.03,658
1607293867,"15",22.23,31.28,679
1607293857,"15",22.1,31.59,687
1607293846,"15",22.07,31.71,687
1607293836,"15",22.04,31.77,687
1607293825,"15",22.02,31.78,689
1607293815,"15",22.12,31.73,688
1607293804,"15",22.06,31.91,688
1607293794,"15",22.04,31.91,685
1607293783,"15",22.06,31.97,686
1607293773,"15",21.99,31.72,688
1607293762,"15",21.99,31.67,688
1607293752,"15",22.02,31.64,689
1607293742,"15",21.93,31.94,696
1607293731,"15",21.93,31.86,701
1607293721,"15",21.95,31.76,703
1607293710,"15",22.03,31.8,707
1607293700,"15",22,31.9,715
1607293689,"15",22,32.04,719
1607293679,"15",21.95,32.28,726
1607293668,"15",21.93,32.38,730
1607293658,"15",21.95,32.46,731
1607293647,"15",21.93,32.58,731
1607293637,"15",21.96,32.59,731
1607293626,"15",21.96,33,732
1607293616,"15",21.95,33.01,732
1607293606,"15",21.95,33.07,732
1607293595,"15",21.95,32.98,732
1607293585,"15",21.89,33.17,734
1607293574,"15",21.93,33.15,734
1607293564,"15",21.96,33.07,731
1607293553,"15",22,32.76,728
1607293543,"15",21.95,32.54,727
1607293532,"15",21.93,32.28,726
1607293522,"15",21.97,31.99,725
1607293511,"15",21.97,32.22,722
1607293501,"15",21.95,31.99,720
1607293491,"15",21.92,31.86,718
1607293480,"15",21.91,31.39,717
1607293470,"15",21.92,31.07,718
1607293459,"15",21.93,30.95,716
1607293449,"15",21.97,30.88,713
1607293438,"15",21.99,30.75,712
1607293428,"15",21.99,30.66,712
1607293417,"15",22,30.62,711
1607293407,"15",22,30.68,711
1607293396,"15",21.99,30.69,710
1607293386,"15",22.02,30.64,707
1607293375,"15",22.02,30.62,705
1607293365,"15",22.04,30.53,702
1607293355,"15",22.07,30.5,701
1607293344,"15",22.03,30.64,700
1607293334,"15",22,30.6,700
1607293323,"15",22.03,30.57,700
1607293313,"15",22.06,30.62,697
1607293302,"15",22.03,30.62,696
1607293292,"15",22.03,30.71,694
1607293281,"15",22.02,30.65,692
1607293271,"15",22,30.6,690
1607293260,"15",22.02,30.59,690
1607293250,"15",22.02,30.65,691
1607293240,"15",22.02,30.68,690
1607293229,"15",22.02,30.64,689
1607293219,"15",22.03,30.65,688
1607293208,"15",22.06,30.61,685
1607293198,"15",22.07,30.64,682
1607293187,"15",22.06,30.62,676
1607293177,"15",22.02,30.51,676
1607293166,"15",22,30.57,677
1607293156,"15",21.99,30.63,679
1607293145,"15",21.99,30.63,676
1607293135,"15",21.99,30.48,661
1607293125,"15",22.02,30.44,647
1607293114,"15",22.04,30.22,620
1607293104,"15",22.07,30.13,569
1607293093,"15",22.06,29.89,554
1607293083,"15",22.07,29.83,553
1607293072,"15",22.07,29.8,553
1607293062,"15",22.06,29.84,554
1607293051,"15",22.12,29.77,553
1607293041,"15",22.1,29.83,554
1607293030,"15",22.09,29.72,553
1607293020,"15",22.09,29.65,553
1607293009,"15",22.1,29.57,555
1607292999,"15",22.17,29.59,556
1607292989,"15",22.23,29.57,555
1607292978,"15",22.23,29.48,555
1607292968,"15",22.31,29.4,551
1607292957,"15",22.31,29.45,554
1607292947,"15",22.23,29.44,557
1607292936,"15",22.27,29.42,555
1607292926,"15",22.3,29.4,557
1607292915,"15",22.3,29.39,559
1607292905,"15",22.35,29.32,555
1607292894,"15",22.4,29.37,555
1607292884,"15",22.35,29.35,559
1607292873,"15",22.38,29.26,560
1607292863,"15",22.43,29.25,562
1607292853,"15",22.47,29.13,559
1607292842,"15",22.52,29.01,555
1607292832,"15",22.62,28.85,558
1607292821,"15",22.78,28.69,554
1607292811,"15",22.75,28.77,555
1607292800,"15",22.64,28.85,558
1607292790,"15",22.6,29,559
1607292779,"15",22.61,28.82,561
1607292769,"15",22.75,28.65,559
1607292758,"15",22.86,28.55,557
1607292748,"15",22.79,28.63,558
1607292737,"15",22.78,28.65,558
1607292727,"15",22.78,28.67,557
1607292717,"15",22.79,28.62,557
1607292706,"15",22.74,28.71,557
1607292696,"15",22.82,28.58,555
1607292685,"15",22.79,28.67,556
1607292675,"15",22.74,28.64,557
1607292664,"15",22.78,28.62,556
1607292654,"15",22.79,28.67,556
1607292643,"15",22.74,28.68,556
1607292633,"15",22.74,28.75,557
1607292622,"15",22.72,28.77,557
1607292612,"15",22.71,28.81,557
1607292602,"15",22.65,28.85,556
1607292591,"15",22.61,28.96,559
1607292581,"15",22.62,28.91,559
1607292570,"15",22.67,28.85,557
1607292560,"15",22.65,28.85,556
1607292549,"15",22.64,28.85,556
1607292539,"15",22.62,28.87,555
1607292528,"15",22.61,28.96,554
1607292518,"15",22.6,29.02,554
1607292507,"15",22.54,29.01,554
1607292497,"15",22.55,29.05,554
1607292486,"15",22.51,29.06,555
1607292476,"15",22.51,29.09,555
1607292465,"15",22.48,29.1,555
1607292455,"15",22.5,29.16,555
1607292445,"15",22.45,29.16,556
1607292434,"15",22.45,29.13,555
1607292424,"15",22.41,29.22,554
1607292413,"15",22.38,29.23,554
1607292403,"15",22.38,29.29,554
1607292392,"15",22.38,29.28,552
1607292382,"15",22.35,29.3,552
1607292371,"15",22.35,29.33,554
1607292361,"15",22.33,29.35,553
1607292350,"15",22.3,29.39,552
1607292340,"15",22.3,29.39,553
1607292330,"15",22.31,29.4,554
1607292319,"15",22.28,29.42,553
1607292309,"15",22.27,29.45,553
1607292298,"15",22.23,29.53,554
1607292288,"15",22.21,29.56,554
1607292277,"15",22.21,29.56,554
1607292267,"15",22.2,29.58,555
1607292256,"15",22.14,29.65,555
1607292246,"15",22.19,29.67,553
1607292235,"15",22.12,29.7,554
1607292225,"15",22.07,29.74,555
1607292214,"15",22.09,29.81,557
1607292204,"15",21.97,30.07,557
1607292194,"15",21.85,30.25,561
1607292183,"15",21.79,30.2,563
1607292173,"15",21.8,30.2,562
1607292162,"15",21.86,30.06,561
1607292152,"15",21.89,29.97,562
1607292141,"15",21.85,30.16,562
1607292131,"15",21.79,30.09,562
1607292120,"15",21.85,30.12,562
1607292110,"15",21.85,29.96,563
1607292099,"15",21.86,29.99,565
1607292089,"15",21.85,30.13,566
1607292079,"15",21.82,30.16,566
1607292068,"15",21.83,30.13,566
1607292058,"15",21.86,30.02,566
1607292047,"15",21.88,30.06,567
1607292037,"15",21.86,30.13,567
1607292026,"15",21.85,30.08,568
1607292016,"15",21.91,29.95,567
1607292005,"15",21.86,30.1,568
1607291995,"15",21.92,30.09,566
1607291984,"15",21.96,30.08,569
1607291974,"15",21.93,30.08,568
1607291963,"15",21.91,30.08,569
1607291953,"15",21.89,30.09,571
1607291943,"15",21.88,30.13,571
1607291932,"15",21.97,29.93,568
1607291922,"15",22.04,29.92,564
1607291911,"15",22.02,29.82,562
1607291901,"15",22.06,29.89,563
1607291890,"15",21.99,29.91,566
1607291880,"15",21.96,30.11,570
1607291869,"15",21.88,30.19,572
1607291859,"15",21.86,30.21,572
1607291848,"15",21.88,30.21,577
1607291838,"15",21.92,30.14,577
1607291827,"15",21.88,30.27,579
1607291817,"15",21.88,30.24,581
1607291807,"15",21.92,30.26,580
1607291796,"15",21.96,30.14,578
1607291786,"15",22.02,30.05,578
1607291775,"15",21.97,30.11,582
1607291765,"15",21.96,30.25,583
1607291754,"15",21.97,30.19,585
1607291744,"15",22,30.19,581
1607291733,"15",22.02,30.13,581
1607291723,"15",21.96,30.23,583
1607291712,"15",21.99,30.16,583
1607291702,"15",22,30.13,581
1607291691,"15",22.04,30.12,579
1607291681,"15",22.07,30.06,578
1607291671,"15",22.03,30.1,578
1607291660,"15",22,30.14,577
1607291650,"15",21.99,30.16,579
1607291639,"15",21.99,30.24,580
1607291629,"15",22.07,30.12,580
1607291618,"15",22.07,30.17,583
1607291608,"15",22.06,30.12,588
1607291597,"15",22.14,29.96,589
1607291587,"15",22.23,29.93,588
1607291576,"15",22.16,30,591
1607291566,"15",22.2,29.9,590
1607291555,"15",22.24,29.83,588
1607291545,"15",22.3,29.63,586
1607291535,"15",22.4,29.67,585
1607291524,"15",22.34,29.77,586
1607291514,"15",22.27,29.89,592
1607291503,"15",22.28,29.86,590
1607291493,"15",22.27,29.92,590
1607291482,"15",22.27,29.85,595
1607291472,"15",22.28,29.94,592
1607291461,"15",22.28,29.89,591
1607291451,"15",22.3,29.89,595
1607291440,"15",22.31,29.82,597
1607291430,"15",22.34,29.76,596
1607291420,"15",22.4,29.64,600
1607291409,"15",22.54,29.39,595
1607291399,"15",22.6,29.43,593
1607291388,"15",22.52,29.47,595
1607291378,"15",22.61,29.44,593
1607291367,"15",22.6,29.44,593
1607291357,"15",22.6,29.39,592
1607291346,"15",22.62,29.42,592
1607291336,"15",22.57,29.53,593
1607291325,"15",22.54,29.5,593
1607291315,"15",22.57,29.49,593
1607291304,"15",22.54,29.59,594
1607291294,"15",22.5,29.59,596
1607291284,"15",22.54,29.52,592
1607291273,"15",22.57,29.53,591
1607291263,"15",22.54,29.56,592
1607291252,"15",22.52,29.58,593
1607291242,"15",22.52,29.59,593
1607291231,"15",22.48,29.71,593
1607291221,"15",22.45,29.72,593
1607291210,"15",22.41,29.75,595
1607291200,"15",22.41,29.81,596
1607291189,"15",22.44,29.78,595
1607291179,"15",22.37,29.82,596
1607291169,"15",22.38,29.9,597
1607291158,"15",22.4,29.98,596
1607291148,"15",22.28,30.03,598
1607291137,"15",22.27,30.01,598
1607291127,"15",22.27,30.09,599
1607291116,"15",22.3,30.12,600
1607291106,"15",22.23,30.15,602
1607291095,"15",22.2,30.25,603
1607291085,"15",22.23,30.26,603
1607291074,"15",22.19,30.27,604
1607291064,"15",22.14,30.26,604
1607291053,"15",22.16,30.42,605
1607291043,"15",22.09,30.49,604
1607291033,"15",22.06,30.59,605
1607291022,"15",21.97,30.8,607
1607291012,"15",21.92,30.81,609
1607291001,"15",21.96,30.77,610
1607290991,"15",21.86,31.1,612
1607290980,"15",21.8,31.27,613
1607290970,"15",21.79,31.3,615
1607290959,"15",21.66,31.69,618
1607290949,"15",21.65,31.55,616
1607290938,"15",21.69,31.49,615
1607290928,"15",21.66,31.47,616
1607290917,"15",21.69,31.49,617
1607290907,"15",21.7,31.51,616
1607290897,"15",21.73,31.4,616
1607290886,"15",21.76,31.47,615
1607290876,"15",21.72,31.42,615
1607290865,"15",21.76,31.42,616
1607290855,"15",21.79,31.44,614
1607290844,"15",21.77,31.45,613
1607290834,"15",21.77,31.62,614
1607290823,"15",21.82,31.52,615
1607290813,"15",21.8,31.47,615
1607290802,"15",21.89,31.34,613
